RECORDED=2021-01-07--11:56:16
radicl VERSION=0.4.2
FIRMWARE REVISION=1.45
HARDWARE REVISION=2
MODEL NUMBER=3
,Sensor1,Sensor2,Sensor3,acceleration,depth
88,4091,902,1858,-1.026465,0.0
89,4089,903,1857,-1.02609,0.0
90,4091,902,1858,-1.025715,0.0
91,4091,904,1859,-1.02534,0.0
92,4091,901,1859,-1.0247781818181818,0.0
93,4093,904,1857,-1.0242163636363635,0.0
94,4092,902,1858,-1.0236545454545454,0.0
95,4091,902,1859,-1.0230927272727273,0.0
96,4091,903,1857,-1.0225309090909092,0.0
97,4091,904,1860,-1.0219690909090908,0.0
98,4091,903,1857,-1.0214072727272727,0.0
99,4090,903,1858,-1.0208454545454546,0.0
100,4091,902,1857,-1.0202836363636365,0.0
101,4091,902,1857,-1.0197218181818182,0.0
102,4089,902,1857,-1.01916,0.0
103,4091,904,1859,-1.018815,0.0
104,4090,903,1858,-1.01847,0.0
105,4091,904,1858,-1.018125,0.0
106,4091,903,1860,-1.0177800000000001,0.0
107,4091,903,1857,-1.017435,0.0
108,4091,902,1857,-1.01709,0.0
109,4091,903,1858,-1.016745,0.0
110,4092,903,1856,-1.0164,0.0
111,4092,902,1858,-1.0160550000000002,0.0
112,4091,902,1857,-1.0157100000000001,0.0
113,4090,903,1859,-1.015365,0.0
114,4092,903,1857,-1.01502,0.0
115,4091,903,1858,-1.0146272727272727,0.0
116,4092,903,1856,-1.0142345454545454,0.0
117,4091,901,1858,-1.0138418181818183,0.0
118,4091,903,1858,-1.013449090909091,0.0
119,4091,901,1859,-1.0130563636363636,0.0
120,4092,903,1857,-1.0126636363636363,0.0
121,4091,904,1858,-1.012270909090909,0.0
122,4094,904,1860,-1.0118781818181817,0.0
123,4091,903,1855,-1.0114854545454546,0.0
124,4091,903,1857,-1.0110927272727273,0.0
125,4094,903,1857,-1.0107,0.0
126,4092,903,1860,-1.0083,0.0
127,4091,902,1858,-1.0059,0.0
128,4090,902,1858,-1.0034999999999998,0.0
129,4091,902,1858,-1.0010999999999999,0.0
130,4091,901,1855,-0.9986999999999999,0.0
